Qnumber,ItemNum,SenType,Category,list
Q7.58,c5-98a,b,other,5
Q7.59,c5-98b,b,other,5
Q7.55,c5-99,b,other,5
Q7.33,c6-113b,b,triple,5
Q5.48,c5-f30-2,g,other,3
Q6.48,c5-f30-2,g,other,4
Q5.52,c6-103,g,other,3
Q6.52,c6-103-2,g,other,4
Q5.53,c6-104,g,other,3
Q6.53,c6-104-2,g,other,4
Q5.63,c6-121,g,other,3
Q6.63,c6-121-2,b,other,4
Q5.49,c6-127,g,other,3
Q6.49,c6-127-2,g,other,4
Q6.33,c6-113c,g,triple,4
Q5.64,c6-128,b,other,3
Q6.64,c6-128-2,b,other,4
Q5.50,c6-129,g,other,3
Q6.50,c6-129-2,g,other,4
Q7.60,c6-52,b,other,5
Q7.61,c6-53,b,other,5
Q5.65,c6-82,b,other,3
Q6.65,c6-82-2,b,other,4
Q7.62,c6-90d,b,other,5
Q5.51,c6-91,g,other,3
Q5.27,c6-15a,g,triple,3
Q5.66,c6-91-2,q,other,3
Q6.51,c6-91-3,g,other,4
Q6.66,c6-91-4,q,other,4
Q5.67,c6-92a,b,other,3
Q6.67,c6-92a-2,b,other,4
Q5.68,c6-92b,b,other,3
Q6.68,c6-92b-2,b,other,4
Q5.57,c7-103,g,other,3
Q6.57,c7-103-2,g,other,4
Q5.69,c7-11,b,other,3
Q6.27,c6-15b,g,triple,4
Q6.69,c7-11-2,b,other,4
Q5.78,c7-153,qq,other,3
Q6.78,c7-153-2,b,other,4
Q5.79,c7-154,b,other,3
Q6.79,c7-154-2,b,other,4
Q5.54,c7-44,g,other,3
Q6.86,c6-80b,g,pair,4
Q6.87,c6-83,g,pair,4
Q6.88,c6-94,g,pair,4
Q6.89,c6-98,g,pair,4
Q7.27,c6-15c,b,triple,5
Q6.90,c7-87a,g,pair,4
Q6.91,c6-105a,g,pair,4
Q6.92,c6-115,g,pair,4
Q6.93,c6-121,g,pair,4
Q6.94,c6-104,g,pair,4
Q6.95,c7-07,g,pair,4
Q6.96,c7-09,g,pair,4
Q6.97,c7-44,g,pair,4
Q6.98,c7-57,g,pair,4
Q6.99,c7-17,g,pair,4
Q7.120,c1-11,b,pair,5
Q7.72,c1-28,g,pair,5
Q7.121,c1-29,b,pair,5
Q7.73,c1-35,g,pair,5
Q7.122,c1-36,b,pair,5
Q7.74,c1-39,g,pair,5
Q7.123,c1-41,b,pair,5
Q7.75,c1-43,g,pair,5
Q7.124,c1-50a,b,pair,5
Q7.76,c1-50b,g,pair,5
Q7.125,c2-01a,b,pair,5
Q7.77,c2-01b,g,pair,5
Q7.78,c2-34,g,pair,5
Q7.126,c2-40,b,pair,5
Q7.79,c2-41,g,pair,5
Q7.127,c2-71,b,pair,5
Q7.80,c3-31,g,pair,5
Q7.81,c3-53,g,pair,5
Q7.82,c3-54,g,pair,5
Q7.129,c3-55,b,pair,5
Q7.130,c3-56,b,pair,5
Q7.128,c3-57,b,pair,5
Q7.83,c3-58,g,pair,5
Q7.131,c3-68,b,pair,5
Q7.84,c3-f9,g,pair,5
Q7.132,c4-27,b,pair,5
Q7.88,c4-28,g,pair,5
Q7.85,c4-32,g,pair,5
Q7.133,c4-38,g,pair,5
Q7.86,c4-39,g,pair,5
Q7.134,c4-45,b,pair,5
Q7.87,c4-47,g,pair,5
Q7.135,c4-48,b,pair,5
Q7.136,c4-49,b,pair,5
Q7.89,c4-55,g,pair,5
Q7.137,c4-55b,b,pair,5
Q7.90,c4-56,g,pair,5
Q7.138,c4-56b,b,pair,5
Q7.91,c4-75,g,pair,5
Q7.139,c4-f29,b,pair,5
Q7.92,c5-08,g,pair,5
Q7.140,c5-09,b,pair,5
Q7.93,c5-12,g,pair,5
Q7.141,c5-13,b,pair,5
Q7.142,c5-17,b,pair,5
Q7.95,c5-18,g,pair,5
Q7.143,c5-24,b,pair,5
Q7.96,c5-25,g,pair,5
Q7.144,c5-26,b,pair,5
Q7.146,c5-41,b,pair,5
Q7.145,c5-42,b,pair,5
Q7.99,c5-43,g,pair,5
Q7.147,c5-47,b,pair,5
Q7.100,c5-48,g,pair,5
Q7.148,c5-54,b,pair,5
Q7.101,c5-55,g,pair,5
Q7.149,c5-60,b,pair,5
Q7.98,c5-68,g,pair,5
Q7.102,c5-69,g,pair,5
Q7.150,c5-71,g,pair,5
Q7.103,c5-73,g,pair,5
Q7.151,c5-74,b,pair,5
Q7.104,c5-87,g,pair,5
Q7.152,c5-92,b,pair,5
Q7.97,c5-f21,g,pair,5
Q7.105,c5-f30,g,pair,5
Q7.94,c5-f9,g,pair,5
Q7.119,c6-103,g,pair,5
Q7.117,c6-105b,g,pair,5
Q7.118,c6-117,g,pair,5
Q7.153,c6-21,b,pair,5
Q7.106,c6-24,g,pair,5
Q7.154,c6-58,b,pair,5
Q7.107,c6-60,g,pair,5
Q7.155,c6-61,b,pair,5
Q7.108,c6-62,g,pair,5
Q7.156,c6-63,b,pair,5
Q7.109,c6-64,g,pair,5
Q7.157,c6-75,b,pair,5
Q7.110,c6-78,g,pair,5
Q7.159,c6-79,b,pair,5
Q7.111,c6-80a,g,pair,5
Q7.112,c6-81,g,pair,5
Q7.113,c6-90,g,pair,5
Q7.114,c6-95,g,pair,5
Q7.115,c6-99,g,pair,5
Q7.116,c7-87b,g,pair,5
Q6.28,c6-17a,g,triple,4
Q5.28,c6-17b,b,triple,3
Q7.28,c6-17c,b,triple,5
Q5.29,c6-19a,g,triple,3
Q6.29,c6-19b,g,triple,4
Q7.29,c6-19c,b,triple,5
Q5.30,c6-96a,g,triple,3
Q6.30,c6-96b,g,triple,4
Q7.30,c6-96c,b,triple,5
Q5.31,c6-97a,g,triple,3
Q6.31,c6-97b,g,triple,4
Q7.31,c6-97c,b,triple,5
Q5.32,c6-98a,b,triple,3
Q6.32,c6-98b,b,triple,4
Q7.32,c6-98c,b,triple,5
Q5.37,c7-107a,b,triple,3
Q6.37,c7-107b,b,triple,4
Q7.37,c7-107c,b,triple,5
Q6.34,c7-16a,g,triple,4
Q5.34,c7-16b,b,triple,3
Q7.34,c7-16c,b,triple,5
Q5.35,c7-55a,b,triple,3
Q6.35,c7-55b,b,triple,4
Q7.35,c7-55c,b,triple,5
Q5.36,c7-86a,g,triple,3
Q6.36,c7-86b,b,triple,4
Q7.36,c7-86c,b,triple,5
Q5.38,c8-14a,b,triple,3
Q6.38,c8-14b,b,triple,4
Q7.38,c8-14c,b,triple,5
Q5.39,c8-37aa,g,triple,3
Q6.39,c8-37ab,g,triple,4
Q7.39,c8-37ac,q,triple,5
